#item,x,y,width,height,label
0,669.0,1121.0,297.0,1029.0,11
1,495.0,8.0,300.0,980.0,11
2,1314.0,21.0,477.0,932.0,11
3,1872.0,53.0,377.0,1084.0,11
4,1956.0,1650.0,271.0,787.0,11
5,220.0,1075.0,597.0,778.0,11
6,975.0,2437.0,216.0,225.0,11
7,449.0,2391.0,271.0,246.0,11
8,895.0,2850.0,276.0,222.0,11
9,1511.0,2691.0,112.0,255.0,11
10,130.0,2427.0,174.0,355.0,11
11,1211.0,2617.0,268.0,200.0,11
12,1395.0,2195.0,203.0,258.0,11
13,1566.0,2214.0,125.0,303.0,11
14,1640.0,2185.0,248.0,281.0,11
15,1940.0,2401.0,203.0,232.0,11
16,2079.0,2611.0,135.0,316.0,11
17,1991.0,2814.0,145.0,258.0,11
18,672.0,2604.0,181.0,300.0,11
19,130.0,2146.0,287.0,168.0,11
20,62.0,579.0,268.0,496.0,11
