#item,x,y,width,height,label
0,1188.0,790.0,159.0,113.0,25
1,992.0,749.0,222.0,154.0,25
2,379.0,791.0,132.0,112.0,25
3,879.0,371.0,120.0,155.0,25
4,759.0,552.0,152.0,92.0,25
5,133.0,406.0,114.0,70.0,25
6,179.0,479.0,232.0,135.0,25
7,987.0,570.0,130.0,70.0,25
8,1124.0,86.0,113.0,190.0,25
9,1311.0,23.0,126.0,181.0,25
10,1490.0,116.0,128.0,172.0,25
11,1641.0,217.0,157.0,121.0,25
12,1473.0,288.0,185.0,184.0,25
13,1294.0,349.0,137.0,121.0,25
14,1251.0,475.0,116.0,163.0,25
15,1145.0,329.0,102.0,101.0,25
16,1001.0,243.0,114.0,220.0,25
17,751.0,38.0,160.0,185.0,25
18,562.0,9.0,193.0,176.0,25
19,262.0,338.0,121.0,101.0,25
20,483.0,320.0,175.0,155.0,25
21,641.0,304.0,128.0,166.0,25
22,720.0,189.0,78.0,206.0,25
23,775.0,257.0,97.0,167.0,25
24,706.0,416.0,135.0,140.0,25
