#item,x,y,width,height,label
0,1334.0,891.0,602.0,774.0,6
1,819.0,860.0,667.0,474.0,6
2,352.0,632.0,495.0,546.0,6
3,815.0,582.0,282.0,420.0,6
4,1445.0,182.0,598.0,250.0,6
5,1841.0,271.0,395.0,524.0,6
6,2191.0,471.0,715.0,339.0,6
7,2654.0,643.0,354.0,532.0,6
8,2682.0,1217.0,326.0,738.0,6
9,2399.0,1088.0,346.0,661.0,6
10,1834.0,1556.0,565.0,415.0,6
11,15.0,1428.0,530.0,497.0,6
12,1106.0,121.0,335.0,352.0,6
13,1308.0,475.0,137.0,187.0,6
14,1426.0,397.0,328.0,178.0,6
15,2071.0,969.0,415.0,259.0,6
16,2404.0,930.0,111.0,152.0,6
