#item,x,y,width,height,label
0,576.0,345.0,151.0,205.0,21
1,28.0,336.0,224.0,131.0,21
2,248.0,402.0,115.0,188.0,21
3,164.0,213.0,145.0,146.0,21
4,242.0,174.0,149.0,105.0,21
5,428.0,303.0,132.0,60.0,21
6,557.0,278.0,183.0,66.0,21
7,723.0,182.0,66.0,173.0,21
8,782.0,327.0,224.0,118.0,21
9,512.0,606.0,152.0,71.0,21
10,412.0,603.0,104.0,69.0,21
11,503.0,653.0,69.0,67.0,21
12,554.0,65.0,88.0,138.0,21
13,393.0,25.0,148.0,125.0,21
14,561.0,193.0,99.0,42.0,21
15,494.0,124.0,69.0,88.0,21
16,438.0,145.0,109.0,73.0,21
17,336.0,408.0,88.0,111.0,21
