#item,x,y,width,height,label
0,638.0,245.0,99.0,105.0,25
1,648.0,615.0,75.0,113.0,25
2,975.0,306.0,72.0,103.0,25
3,1001.0,541.0,91.0,124.0,25
4,1156.0,394.0,86.0,102.0,25
5,1233.0,338.0,72.0,62.0,25
6,406.0,675.0,147.0,118.0,25
7,259.0,586.0,182.0,169.0,25
8,484.0,425.0,141.0,100.0,25
9,727.0,560.0,77.0,163.0,25
10,172.0,1397.0,162.0,269.0,25
11,105.0,1271.0,111.0,165.0,25
12,1205.0,1133.0,199.0,329.0,25
13,1029.0,892.0,205.0,269.0,25
14,1225.0,591.0,99.0,86.0,25
15,732.0,380.0,142.0,105.0,25
16,626.0,468.0,75.0,94.0,25
