#item,x,y,width,height,label
0,305.0,300.0,198.0,195.0,16
1,397.0,420.0,194.0,171.0,16
2,674.0,517.0,192.0,149.0,16
3,557.0,521.0,141.0,175.0,16
4,606.0,413.0,165.0,172.0,16
5,727.0,191.0,154.0,177.0,16
6,611.0,206.0,109.0,182.0,16
7,609.0,370.0,150.0,91.0,16
8,519.0,199.0,106.0,190.0,16
9,792.0,38.0,165.0,176.0,16
10,686.0,63.0,112.0,179.0,16
11,384.0,126.0,127.0,210.0,16
12,243.0,165.0,159.0,149.0,16
13,172.0,357.0,132.0,146.0,16
14,38.0,374.0,160.0,142.0,16
15,273.0,568.0,157.0,168.0,16
16,145.0,492.0,166.0,142.0,16
17,79.0,531.0,127.0,207.0,16
18,1.0,292.0,174.0,120.0,16
19,123.0,147.0,128.0,164.0,16
20,23.0,95.0,126.0,186.0,16
21,161.0,92.0,159.0,82.0,16
22,89.0,20.0,116.0,135.0,16
