#item,x,y,width,height,label
0,164.0,121.0,87.0,171.0,6
1,221.0,249.0,154.0,94.0,6
2,342.0,328.0,89.0,92.0,6
3,402.0,165.0,66.0,128.0,6
4,487.0,161.0,70.0,116.0,6
5,533.0,301.0,119.0,134.0,6
6,616.0,326.0,202.0,110.0,6
7,564.0,429.0,114.0,153.0,6
8,475.0,412.0,80.0,87.0,6
9,419.0,400.0,56.0,101.0,6
10,324.0,410.0,109.0,99.0,6
11,164.0,320.0,98.0,116.0,6
12,135.0,381.0,65.0,71.0,6
13,45.0,254.0,90.0,99.0,6
14,53.0,86.0,122.0,106.0,6
15,352.0,5.0,151.0,155.0,6
16,601.0,5.0,156.0,139.0,6
17,77.0,343.0,85.0,128.0,6
18,307.0,164.0,118.0,132.0,6
19,436.0,349.0,44.0,56.0,6
